"2016-12-11 17:40:37.31581102 -0500 EST", "10217", "SEO,BLACKHAT,TRAFFIC ENCRASER INCLUDE ATOMIC EMAIL SENDER AND OTHER TOOLS FOR Facebook,Backlink,Keyw", "Zloy3", "USD 8.00", "Digital Goods"
"2016-12-11 16:37:46.031657825 -0500 EST", "44517", "[ 1x ] [ OxyContin 40mg ] [ Mundipharma ] [ EU version ] [ OC ]", "LabSOURCE", "USD 16.00", "Drugs", "Germany"
"2016-12-11 20:07:36.702190116 -0500 EST", "2981", "Restoril (temazepam) 30 MG 30 Caps", "DeepMeds", "USD 75.00", "Drugs", "Worldwide"
"2016-12-11 17:52:20.262021676 -0500 EST", "42926", "♕◄20ml pure 99.99% high GBL Liquid ►♕◄100% German Quality ►♕◄ LIQUID ECSTASY ► ♕◄ Now 20ml highest G", "hrruin", "USD 16.90", "Drugs", "Europe (EU)"
"2016-12-11 16:50:59.808069389 -0500 EST", "41645", "6g FIRE Crystal Meth +FREE SHIPPING", "methjoog", "USD 230.00", "Drugs", "United States"
"2016-12-11 19:09:46.156160417 -0500 EST", "55110", "Tangerine Dream Shatter - 14g", "dougsdank", "USD 320.00", "Drugs", "United States"
"2016-12-11 16:52:48.810266144 -0500 EST", "37493", "Social Media Security 2014", "pckabml", "USD 2.99", "Guides & Tutorials"
"2016-12-11 20:05:19.866946763 -0500 EST", "55528", "6 gr mdma dutch qaulity very good AAA+++ Champange", "goldendrugs", "USD 50.70", "Drugs", "Netherlands"
"2016-12-11 21:02:46.295089751 -0500 EST", "37546", "5 Blotters LSD 150ug☠ on Albert Hofman", "Cheech-Chong", "USD 15.28", "Drugs", "Worldwide"
"2016-12-11 17:46:16.2710376 -0500 EST", "5409", "Network Security Assessment 3rd edition early release 2015", "pckabml", "USD 2.99", "Guides & Tutorials"
"2016-12-11 18:04:55.160826344 -0500 EST", "6962", "Pick-5-Book List: PHP Programming and Web Application Frameworks", "pckabml", "USD 13.00", "Guides & Tutorials"
"2016-12-11 19:40:09.897189285 -0500 EST", "748", "60 Pills Valium (Roche) 10 MG", "Meds2Buy", "USD 75.00", "Drugs", "Philippines"
"2016-12-11 19:24:24.434233887 -0500 EST", "45735", "FrostWire Portable - download toons of soft", "g3cko", "USD 1.00", "Digital Goods"
"2016-12-11 19:19:07.573304955 -0500 EST", "46322", "180mg Xanax Alprazolam Pfizer Bars 90x 2mg", "accept", "USD 219.00", "Drugs", "United States"
"2016-12-11 18:29:56.938762196 -0500 EST", "55196", "SALE! 10 x Mundi Asia OXYCONTIN OD/40s 250$", "BigPoppa7777", "USD 250.00", "Drugs", "Japan"
"2016-12-11 20:04:42.174822069 -0500 EST", "54179", "3 gr dry speed yellow very strong AAA+++", "goldendrugs", "USD 28.52", "Drugs", "Netherlands"
"2016-12-11 15:36:28.326235649 -0500 EST", "50929", "100 G AMNESIA HAZE BUDS HIGH QUALITY", "chapost", "USD 739.37", "Drugs", "Worldwide"
"2016-12-11 15:56:54.109760136 -0500 EST", "10025", "TEST ORDER for COCAINE PURE UNCUT 90% AAA+ HQ", "dutchcandyshop", "USD 31.69", "Drugs", "Belgium"
"2016-12-11 16:53:23.958251008 -0500 EST", "17210", "Cialis Pharma Grade Lilly brand 8 x 20mg tablets", "cerberus", "USD 31.44", "Drugs", "United Kingdom"
"2016-12-11 16:49:51.173448122 -0500 EST", "5522", "Canna Chocolates (Ten Packs)", "UKFruits", "USD 12.56", "Drugs", "United Kingdom"
"2016-12-11 19:58:33.657219168 -0500 EST", "37272", "US PASSPORT TAMPLATE", "cocacola007", "USD 1.50", "Guides & Tutorials"
"2016-12-11 20:48:02.418009445 -0500 EST", "50970", "Green Crack 7 Gram", "AutoYeyo", "USD 73.75", "Drugs", "United States"
"2016-12-11 16:30:12.976279794 -0500 EST", "50831", "1g Super Silver Haze, YD`s best, FREE SHIPPING", "YOURDEALER", "USD 20.07", "Drugs", "Germany"
